day,x,y,z
58,-1.9732728537315754E12,-3.090601912164816E11,1.1546170792759113E7
59,-2.004729392484286E12,-3.1389094723955896E11,1.1602405364201939E7
60,-2.0361856931855598E12,-3.187216659292121E11,1.1658639355243998E7
61,-2.0676417631288684E12,-3.2355234844156244E11,1.1714872785934603E7
62,-2.0990976092775078E12,-3.2838299587983014E11,1.1771105675328186E7
63,-2.1305532382842346E12,-3.3321360929751385E11,1.1827338041548194E7
64,-2.1620086565094631E12,-3.38044189701335E11,1.1883569901845973E7
65,-2.1934638700381475E12,-3.428747380539673E11,1.1939801272655085E7
66,-2.2249188846954634E12,-3.4770525527657E11,1.1996032169641512E7
67,-2.2563737060613887E12,-3.5253574225114185E11,1.205226260775007E7
68,-2.2878283394842773E12,-3.573661998227098E11,1.2108492601247407E7
69,-2.3192827900935034E12,-3.621966288013677E11,1.2164722163761854E7
70,-2.350737062811256E12,-3.6702702996417596E11,1.2220951308320418E7
71,-2.382191162363551E12,-3.718574040569338E11,1.2277180047383148E7
72,-2.4136450932905176E12,-3.7668775179583417E11,1.2333408392875103E7
73,-2.445098859956025E12,-3.815180738690109E11,1.238963635621611E7
74,-2.4765524665566875E12,-3.8634837093798566E11,1.2445863948348502E7
75,-2.5080059171303057E12,-3.91178643639023E11,1.2502091179762978E7
76,-2.5394592155637803E12,-3.960088925844003E11,1.255831806052277E7
77,-2.57091236560054E12,-4.0083911836359875E11,1.2614544600286216E7
78,-2.6023653708475176E12,-4.056693215444213E11,1.2670770808327863E7
79,-2.633818234781705E12,-4.104995026740431E11,1.2726996693558251E7
80,-2.6652709607563237E12,-4.153296622799987E11,1.2783222264542425E7
81,-2.696723552006629E12,-4.2015980087111145E11,1.2839447529517297E7
82,-2.72817601165538E12,-4.2498991893836786E11,1.2895672496407954E7
83,-2.759628342717996E12,-4.2982001695574207E11,1.295189717284296E7
84,-2.791080548107421E12,-4.346500953809728E11,1.3008121566168746E7
85,-2.822532630638715E12,-4.394801546562967E11,1.3064345683463138E7
86,-2.8539845930333906E12,-4.4431019520914075E11,1.3120569531548096E7
87,-2.8854364379235146E12,-4.4914021745277625E11,1.3176793117001714E7
88,-2.916888167855584E12,-4.539702217869372E11,1.323301644616953E7
89,-2.9483397852941963E12,-4.588002085984053E11,1.3289239525175186E7
90,-2.979791292625524E12,-4.636301782615635E11,1.3345462359930504E7
91,-3.0112426921606074E12,-4.684601311389206E11,1.340168495614499E7
92,-3.0426939861384775E12,-4.732900675816083E11,1.3457907319334816E7
93,-3.074145176729115E12,-4.781199879298522E11,1.3514129454831323E7
94,-3.105596266036262E12,-4.8294989251341907E11,1.3570351367789056E7
95,-3.137047256100092E12,-4.877797816520412E11,1.3626573063193379E7
96,-3.168498148899742E12,-4.9260965565581946E11,1.3682794545867678E7
97,-3.1999489463557285E12,-4.974395148256065E11,1.37390158204802E7
98,-3.231399650332236E12,-5.022693594533707E11,1.3795236891550533E7
99,-3.2628502626393003E12,-5.07099189822543E11,1.3851457763455754E7
100,-3.294300785034886E12,-5.119290062083462E11,1.390767844043626E7
101,-3.3257512192268647E12,-5.167588088781091E11,1.3963898926601326E7
102,-3.3572015668749004E12,-5.215885980915655E11,1.4020119225934358E7
103,-3.388651829592246E12,-5.264183741011396E11,1.4076339342297915E7
104,-3.4201020089474595E12,-5.312481371522172E11,1.4132559279438468E7
105,-3.451552106466039E12,-5.360778874834055E11,1.4188779040990934E7
106,-3.483002123631986E12,-5.409076253267802E11,1.4244998630483E7
107,-3.5144520618892935E12,-5.4573735090812195E11,1.4301218051339231E7
108,-3.5459019226433765E12,-5.50567064447142E11,1.4357437306884997E7
109,-3.5773517072624297E12,-5.553967661576976E11,1.4413656400350198E7
110,-3.608801417078733E12,-5.602264562479987E11,1.4469875334872846E7
111,-3.6402510533898965E12,-5.650561349208044E11,1.452609411350245E7
112,-3.671700617460054E12,-5.698858023736124E11,1.458231273920328E7
113,-3.703150110521004E12,-5.747154587988386E11,1.4638531214857457E7
114,-3.734599533773303E12,-5.795451043839906E11,1.4694749543267926E7
115,-3.7660488883873154E12,-5.843747393118331E11,1.4750967727161279E7
116,-3.7974981755042134E12,-5.892043637605465E11,1.4807185769190473E7
117,-3.828947396236944E12,-5.940339779038792E11,1.4863403671937421E7
118,-3.86039655167115E12,-5.988635819112928E11,1.4919621437915465E7
119,-3.891845642866057E12,-6.036931759481028E11,1.4975839069571756E7
120,-3.9232946708553228E12,-6.085227601756123E11,1.503205656928952E7
121,-3.954743636647854E12,-6.133523347512406E11,1.5088273939390246E7
122,-3.9861925412285903E12,-6.181818998286473E11,1.5144491182135765E7
123,-4.017641385559258E12,-6.230114555578513E11,1.5200708299730249E7
124,-4.0490901705790923E12,-6.278410020853444E11,1.5256925294322135E7
125,-4.080538897205535E12,-6.326705395542009E11,1.5313142168005958E7
126,-4.1119875663349033E12,-6.37500068104184E11,1.536935892282412E7
127,-4.143436178843032E12,-6.423295878718463E11,1.5425575560768576E7
128,-4.174884735585895E12,-6.47159098990628E11,1.5481792083782468E7
129,-4.206333237400199E12,-6.519886015909503E11,1.553800849376168E7
130,-4.2377816851039595E12,-6.56818095800306E11,1.559422479255634E7
131,-4.269230079497052E12,-6.616475817433467E11,1.565044098197226E7
132,-4.300678421361745E12,-6.664770595419662E11,1.5706657063772319E7
133,-4.332126711463215E12,-6.71306529315382E11,1.5762873039677795E7
134,-4.3635749505500356E12,-6.76135991180212E11,1.5819088911369646E7
135,-4.395023139354661E12,-6.809654452505508E11,1.5875304680489741E7
136,-4.42647127859388E12,-6.857948916380409E11,1.5931520348642046E7
137,-4.457919368969263E12,-6.906243304519431E11,1.5987735917393763E7
138,-4.489367411167588E12,-6.954537617992034E11,1.6043951388276437E7
139,-4.520815405861255E12,-7.002831857845183E11,1.6100166762787009E7
140,-4.552263353708684E12,-7.051126025103972E11,1.6156382042388834E7
141,-4.583711255354697E12,-7.099420120772231E11,1.6212597228512676E7
142,-4.615159111430896E12,-7.147714145833109E11,1.6268812322557647E7
143,-4.646606922556019E12,-7.196008101249636E11,1.6325027325892122E7
144,-4.678054689336281E12,-7.244301987965273E11,1.6381242239854628E7
145,-4.709502412365723E12,-7.292595806904436E11,1.6437457065754691E7
146,-4.740950092226521E12,-7.340889558973003E11,1.6493671804873656E7
147,-4.7723977294893125E12,-7.389183245058811E11,1.6549886458465489E7
148,-4.80384532471349E12,-7.437476866032131E11,1.660610102775753E7
149,-4.8352928784475E12,-7.485770422746125E11,1.6662315513951246E7
150,-4.866740391229126E12,-7.534063916037296E11,1.6718529918222934E7
151,-4.898187863585761E12,-7.582357346725914E11,1.6774744241724417E7
152,-4.929635296034675E12,-7.630650715616439E11,1.6830958485583708E7
153,-4.961082689083271E12,-7.67894402349792E11,1.6887172650905665E7
154,-4.99253004322934E12,-7.727237271144388E11,1.6943386738772593E7
155,-5.023977358961293E12,-7.775530459315237E11,1.6999600750244867E7
156,-5.055424636758402E12,-7.823823588755586E11,1.7055814686361503E7
157,-5.086871877091025E12,-7.872116660196638E11,1.7112028548140723E7
158,-5.118319080420826E12,-7.920409674356027E11,1.716824233658051E7
159,-5.149766247200986E12,-7.968702631938142E11,1.722445605265912E7
160,-5.181213377876411E12,-8.016995533634463E11,1.72806696973356E7
161,-5.212660472883934E12,-8.065288380123866E11,1.7336883271550287E7
162,-5.244107532652503E12,-8.11358117207293E11,1.7393096776225276E7
163,-5.275554557603379E12,-8.161873910136235E11,1.74493102122649E7
164,-5.307001548150312E12,-8.210166594956644E11,1.7505523580556154E7
165,-5.338448504699717E12,-8.258459227165583E11,1.7561736881969158E7
166,-5.369895427650854E12,-8.306751807383312E11,1.7617950117357552E7
167,-5.401342317395987E12,-8.355044336219182E11,1.767416328755893E7
168,-5.432789174320553E12,-8.403336814271896E11,1.773037639339522E7
169,-5.464235998803313E12,-8.451629242129752E11,1.778658943567306E7
170,-5.495682791216512E12,-8.499921620370883E11,1.7842802415184204E7
171,-5.527129551926021E12,-8.548213949563489E11,1.7899015332705833E7
172,-5.55857628129149E12,-8.596506230266064E11,1.7955228189000953E7
173,-5.590022979666479E12,-8.64479846302762E11,1.8011440984818712E7
174,-5.621469647398598E12,-8.693090648387891E11,1.8067653720894728E7
175,-5.652916284829645E12,-8.741382786877549E11,1.8123866397951413E7
176,-5.684362892295729E12,-8.789674879018403E11,1.8180079016698286E7
177,-5.7158094701273955E12,-8.837966925323597E11,1.823629157783227E7
178,-5.747256018649754E12,-8.886258926297798E11,1.8292504082037997E7
179,-5.778702538182589E12,-8.934550882437382E11,1.8348716529988077E7
180,-5.810149029040481E12,-8.982842794230618E11,1.840492892234338E7
181,-5.841595491532919E12,-9.031134662157838E11,1.8461141259753313E7
182,-5.873041925964405E12,-9.079426486691616E11,1.851735354285606E7
183,-5.904488332634567E12,-9.127718268296925E11,1.8573565772278864E7
184,-5.935934711838258E12,-9.176010007431307E11,1.8629777948638245E7
185,-5.967381063865657E12,-9.224301704545026E11,1.8685990072540265E7
186,-5.998827389002369E12,-9.272593360081222E11,1.874220214458074E7
187,-6.0302736875295205E12,-9.320884974476062E11,1.8798414165345483E7
188,-6.061719959723853E12,-9.369176548158884E11,1.8854626135410514E7
189,-6.09316620585781E12,-9.417468081552341E11,1.891083805534228E7
190,-6.124612426199632E12,-9.465759575072538E11,1.8967049925697856E7
191,-6.156058621013437E12,-9.514051029129165E11,1.9023261747025162E7
192,-6.187504790559306E12,-9.562342444125631E11,1.9079473519863147E7
193,-6.218950935093367E12,-9.610633820459188E11,1.913568524474199E7
194,-6.250397054867872E12,-9.658925158521061E11,1.919189692218328E7
195,-6.281843150131277E12,-9.707216458696562E11,1.92481085527002E7
196,-6.313289221128315E12,-9.755507721365219E11,1.9304320136797715E7
197,-6.344735268100074E12,-9.803798946900878E11,1.936053167497273E7
198,-6.376181291284065E12,-9.852090135671827E11,1.941674316771427E7
199,-6.407627290914294E12,-9.900381288040902E11,1.9472954615503635E7
200,-6.439073267221331E12,-9.948672404365592E11,1.9529166018814567E7
201,-6.470519220432378E12,-9.996963484998146E11,1.95853773781134E7
202,-6.501965150771332E12,-1.0045254530285673E12,1.9641588693859227E7
203,-6.533411058458851E12,-1.0093545540570243E12,1.969779996650402E7
204,-6.564856943712411E12,-1.0141836516188986E12,1.97540111964928E7
205,-6.596302806746376E12,-1.019012745747418E12,1.981022238426376E7
206,-6.62774864777205E12,-1.0238418364753351E12,1.986643353024843E7
207,-6.659194466997735E12,-1.0286709238349362E12,1.9922644634871773E7
208,-6.690640264628794E12,-1.0335000078580494E12,1.9978855698552344E7
209,-6.722086040867696E12,-1.0383290885760543E12,2.0035066721702404E7
210,-6.753531795914081E12,-1.0431581660198895E12,2.009127770472805E7
211,-6.784977529964803E12,-1.0479872402200614E12,2.0147488648029335E7
212,-6.816423243213987E12,-1.0528163112066517E12,2.0203699552000385E7
213,-6.84786893585308E12,-1.0576453790093258E12,2.025991041702952E7
214,-6.8793146080708955E12,-1.0624744436573402E12,2.0316121243499357E7
215,-6.910760260053665E12,-1.0673035051795498E12,2.037233203178693E7
216,-6.942205891985085E12,-1.0721325636044154E12,2.0428542782263786E7
217,-6.973651504046359E12,-1.076961618960011E12,2.04847534952961E7
218,-7.005097096416248E12,-1.0817906712740304E12,2.054096417124477E7
219,-7.036542669271109E12,-1.0866197205737943E12,2.059717481046553E7
220,-7.067988222784944E12,-1.091448766886257E12,2.0653385413309027E7
221,-7.099433757129434E12,-1.0962778102380126E12,2.070959598012093E7
222,-7.130879272473985E12,-1.101106850655302E12,2.076580651124202E7
223,-7.16232476898577E12,-1.1059358881640186E12,2.0822017007008284E7
224,-7.193770246829761E12,-1.110764922789714E12,2.0878227467750993E7
225,-7.225215706168774E12,-1.1155939545576057E12,2.09344378937968E7
226,-7.256661147163505E12,-1.1204229834925808E12,2.099064828546782E7
227,-7.288106569972563E12,-1.125252009619203E12,2.1046858643081702E7
228,-7.319551974752513E12,-1.1300810329617178E12,2.1103068966951746E7
229,-7.350997361657901E12,-1.1349100535440583E12,2.1159279257386934E7
230,-7.382442730841299E12,-1.13973907138985E12,2.1215489514692042E7
231,-7.413888082453331E12,-1.1445680865224167E12,2.12716997391677E7
232,-7.445333416642711E12,-1.1493970989647847E12,2.132790993111048E7
233,-7.4767787335562705E12,-1.154226108739689E12,2.1384120090812944E7
234,-7.508224033338994E12,-1.1590551158695771E12,2.1440330218563743E7
235,-7.539669316134049E12,-1.1638841203766147E12,2.1496540314647667E7
236,-7.571114582082814E12,-1.16871312228269E12,2.1552750379345722E7
237,-7.602559831324912E12,-1.1735421216094177E12,2.1608960412935197E7
238,-7.634005063998234E12,-1.178371118378145E12,2.1665170415689718E7
239,-7.665450280238975E12,-1.1832001126099546E12,2.1721380387879323E7
240,-7.696895480181652E12,-1.18802910432567E12,2.1777590329770524E7
241,-7.728340663959144E12,-1.192858093545859E12,2.1833800241626363E7
242,-7.759785831702705E12,-1.1976870802908384E12,2.189001012370647E7
243,-7.791230983542001E12,-1.2025160645806782E12,2.1946219976267133E7
244,-7.82267611960513E12,-1.2073450464352043E12,2.2002429799561337E7
245,-7.854121240018647E12,-1.2121740258740046E12,2.2058639593838837E7
246,-7.885566344907594E12,-1.217003002916431E12,2.2114849359346204E7
247,-7.917011434395516E12,-1.2218319775816033E12,2.2171059096326876E7
248,-7.94845650860449E12,-1.2266609498884143E12,2.222726880502122E7
249,-7.979901567655151E12,-1.231489919855532E12,2.228347848566658E7
250,-8.011346611666707E12,-1.2363188875014036E12,2.233968813849732E7
251,-8.042791640756965E12,-1.241147852844259E12,2.239589776374488E7
252,-8.074236655042355E12,-1.2459768159021145E12,2.2452107361637827E7
253,-8.105681654637949E12,-1.2508057766927751E12,2.25083169324019E7
254,-8.137126639657482E12,-1.255634735233839E12,2.2564526476260044E7
255,-8.168571610213375E12,-1.2604636915427004E12,2.2620735993432473E7
256,-8.20001656641675E12,-1.265292645636552E12,2.2676945484136716E7
257,-8.231461508377455E12,-1.270121597532389E12,2.2733154948587637E7
258,-8.262906436204083E12,-1.2749505472470117E12,2.2789364386997506E7
259,-8.294351350003988E12,-1.2797794947970286E12,2.2845573799576018E7
260,-8.325796249883307E12,-1.284608440198859E12,2.2901783186530355E7
261,-8.357241135946975E12,-1.2894373834687358E12,2.2957992548065204E7
262,-8.388686008298745E12,-1.2942663246227095E12,2.3014201884382818E7
263,-8.420130867041207E12,-1.299095263676649E12,2.3070411195683036E7
264,-8.451575712275804E12,-1.3039242006462456E12,2.3126620482163336E7
265,-8.483020544102847E12,-1.3087531355470164E12,2.3182829744018856E7
266,-8.514465362621534E12,-1.3135820683943044E12,2.3239038981442448E7
267,-8.54591016792997E12,-1.3184109992032832E12,2.3295248194624707E7
268,-8.577354960125173E12,-1.3232399279889587E12,2.3351457383753996E7
269,-8.608799739303101E12,-1.328068854766172E12,2.3407666549016498E7
